Month, Num_Searches
2004-01,0
2004-02,36
2004-03,0
2004-04,48
2004-05,66
2004-06,35
2004-07,53
2004-08,37
2004-09,48
2004-10,39
2004-11,50
2004-12,41
2005-01,39
2005-02,50
2005-03,51
2005-04,34
2005-05,53
2005-06,36
2005-07,44
2005-08,34
2005-09,56
2005-10,37
2005-11,41
2005-12,45
2006-01,36
2006-02,53
2006-03,51
2006-04,65
2006-05,77
2006-06,49
2006-07,49
2006-08,43
2006-09,46
2006-10,44
2006-11,41
2006-12,53
2007-01,42
2007-02,48
2007-03,49
2007-04,49
2007-05,55
2007-06,78
2007-07,55
2007-08,51
2007-09,53
2007-10,43
2007-11,65
2007-12,54
2008-01,46
2008-02,50
2008-03,49
2008-04,56
2008-05,52
2008-06,50
2008-07,40
2008-08,46
2008-09,45
2008-10,53
2008-11,39
2008-12,38
2009-01,36
2009-02,53
2009-03,38
2009-04,53
2009-05,43
2009-06,39
2009-07,43
2009-08,43
2009-09,39
2009-10,41
2009-11,46
2009-12,34
2010-01,44
2010-02,43
2010-03,50
2010-04,56
2010-05,69
2010-06,48
2010-07,55
2010-08,48
2010-09,48
2010-10,41
2010-11,47
2010-12,39
2011-01,56
2011-02,51
2011-03,53
2011-04,49
2011-05,50
2011-06,49
2011-07,51
2011-08,53
2011-09,47
2011-10,51
2011-11,52
2011-12,45
2012-01,51
2012-02,46
2012-03,44
2012-04,44
2012-05,55
2012-06,46
2012-07,47
2012-08,37
2012-09,42
2012-10,44
2012-11,39
2012-12,42
2013-01,47
2013-02,43
2013-03,39
2013-04,46
2013-05,48
2013-06,47
2013-07,40
2013-08,40
2013-09,35
2013-10,38
2013-11,33
2013-12,39
2014-01,44
2014-02,45
2014-03,47
2014-04,41
2014-05,37
2014-06,38
2014-07,55
2014-08,40
2014-09,41
2014-10,38
2014-11,47
2014-12,37
2015-01,38
2015-02,42
2015-03,35
2015-04,37
2015-05,30
2015-06,33
2015-07,39
2015-08,40
2015-09,36
2015-10,36
2015-11,38
2015-12,41
2016-01,47
2016-02,39
2016-03,38
2016-04,41
2016-05,42
2016-06,40
2016-07,35
2016-08,34
2016-09,39
2016-10,34
2016-11,45
2016-12,40
2017-01,61
2017-02,100
2017-03,73
2017-04,58
2017-05,54
2017-06,53
2017-07,45
2017-08,48
2017-09,45
2017-10,46
2017-11,45
2017-12,46
2018-01,67
2018-02,57
2018-03,51
2018-04,53
2018-05,51
2018-06,83
2018-07,55
2018-08,59
2018-09,49
2018-10,49
2018-11,51
2018-12,64
2019-01,90
2019-02,69
2019-03,50
2019-04,55
2019-05,49
2019-06,56
2019-07,65
2019-08,52
2019-09,48
2019-10,44
2019-11,40
2019-12,44
2020-01,45
2020-02,44
2020-03,36
2020-04,33
2020-05,35
2020-06,33
2020-07,37
2020-08,32
2020-09,33
2020-10,36
2020-11,30
2020-12,35
