Category: All categories

Month,immigrant: (United States)
2004-01,41
2004-02,44
2004-03,52
2004-04,45
2004-05,41
2004-06,34
2004-07,37
2004-08,28
2004-09,37
2004-10,39
2004-11,43
2004-12,38
2005-01,35
2005-02,41
2005-03,41
2005-04,42
2005-05,40
2005-06,30
2005-07,27
2005-08,28
2005-09,34
2005-10,40
2005-11,39
2005-12,33
2006-01,34
2006-02,37
2006-03,48
2006-04,78
2006-05,76
2006-06,34
2006-07,28
2006-08,26
2006-09,33
2006-10,41
2006-11,39
2006-12,31
2007-01,30
2007-02,36
2007-03,35
2007-04,37
2007-05,41
2007-06,33
2007-07,29
2007-08,28
2007-09,34
2007-10,38
2007-11,40
2007-12,33
2008-01,29
2008-02,34
2008-03,32
2008-04,37
2008-05,29
2008-06,22
2008-07,23
2008-08,22
2008-09,26
2008-10,29
2008-11,30
2008-12,24
2009-01,25
2009-02,30
2009-03,30
2009-04,31
2009-05,25
2009-06,23
2009-07,20
2009-08,21
2009-09,26
2009-10,30
2009-11,29
2009-12,23
2010-01,26
2010-02,24
2010-03,27
2010-04,30
2010-05,37
2010-06,24
2010-07,23
2010-08,20
2010-09,23
2010-10,27
2010-11,23
2010-12,20
2011-01,20
2011-02,24
2011-03,22
2011-04,23
2011-05,23
2011-06,23
2011-07,19
2011-08,20
2011-09,23
2011-10,25
2011-11,23
2011-12,25
2012-01,24
2012-02,23
2012-03,22
2012-04,23
2012-05,21
2012-06,19
2012-07,15
2012-08,17
2012-09,20
2012-10,22
2012-11,21
2012-12,17
2013-01,20
2013-02,21
2013-03,22
2013-04,24
2013-05,22
2013-06,17
2013-07,15
2013-08,15
2013-09,20
2013-10,24
2013-11,24
2013-12,19
2014-01,19
2014-02,21
2014-03,22
2014-04,22
2014-05,29
2014-06,28
2014-07,38
2014-08,23
2014-09,27
2014-10,27
2014-11,29
2014-12,23
2015-01,22
2015-02,24
2015-03,23
2015-04,25
2015-05,21
2015-06,20
2015-07,24
2015-08,25
2015-09,31
2015-10,29
2015-11,29
2015-12,24
2016-01,25
2016-02,27
2016-03,27
2016-04,25
2016-05,25
2016-06,23
2016-07,21
2016-08,20
2016-09,26
2016-10,28
2016-11,44
2016-12,24
2017-01,44
2017-02,82
2017-03,49
2017-04,34
2017-05,29
2017-06,24
2017-07,22
2017-08,24
2017-09,30
2017-10,30
2017-11,36
2017-12,27
2018-01,34
2018-02,34
2018-03,32
2018-04,31
2018-05,35
2018-06,100
2018-07,45
2018-08,34
2018-09,31
2018-10,47
2018-11,48
2018-12,34
2019-01,39
2019-02,33
2019-03,31
2019-04,31
2019-05,31
2019-06,34
2019-07,37
2019-08,31
2019-09,29
2019-10,31
2019-11,28
2019-12,26
